title,company,location,experience_level,years_experience_min,years_experience_max,degree_requirements,confidence_score,needs_review,source,url,skills_keywords,work_areas
Customer Success Manager,Arcadia,Remote,Associate,,,Associate's,1,FALSE,Lever API,https://jobs.lever.co/arcadia/878f8c29-b287-488d-b6c0-e65e059f24b4,"SQL, Excel, Communication",
Enterprise Project Associate,Arcadia,Remote (USA),Senior,2,5,Associate's,0.7,FALSE,Lever API,https://jobs.lever.co/arcadia/d5633dd1-996b-4d48-b4aa-ebb8dd6382c5,"SQL, Project Management, Excel, Communication",
Lead Data Engineer,Arcadia,Remote (USA),Lead/Principal,1,8,Associate's (required),1,FALSE,Lever API,https://jobs.lever.co/arcadia/811000d1-b400-491b-a712-f2484ba03e66,"Python, Java, SQL, AWS, Data Analysis, Agile, Communication","Energy Storage, Electric Vehicles"
"Principal Software Engineer (Full Stack, Backend-Focused)",Arcadia,Remote (USA),Lead/Principal,10,10,Associate's,1,FALSE,Lever API,https://jobs.lever.co/arcadia/a5711ac1-89d9-4441-bb3c-e4b08e9ff0db,"Python, JavaScript, Java, Go, AWS, Terraform, Communication",Hydrogen
"Account Executive, Market Intelligence (Provider)",Arcadia,Remote (USA),Senior,5,5,Associate's,1,FALSE,Lever API,https://jobs.lever.co/arcadia/ff5026f4-17d5-47de-89c8-09fec7336096,"Sales, Product Management, Finance, Communication",
Application Enablement Analyst,Arcadia,Remote (USA),Associate,2,4,Associate's,1,FALSE,Lever API,https://jobs.lever.co/arcadia/65864afa-29de-41ba-afbf-e69b237694da,"Product Management, Communication",
"Director, Delivery & Operations - Life Sciences",Arcadia,Remote (USA),Executive,15,15,Associate's,1,FALSE,Lever API,https://jobs.lever.co/arcadia/16969bb0-1816-4cc2-947b-99ae83be571c,"Finance, Communication",Supply Chain
Enterprise Implementation Manager,Arcadia,"Remote or Boston, MA",Associate,3,3,Associate's (preferred),1,FALSE,Lever API,https://jobs.lever.co/arcadia/25987916-7e77-4ee1-af3a-6c3334364190,"SQL, Go, Project Management, Excel, Communication",
CDL Class A Tanker Driver/Side Operator Qualified,Charmindustrial,"St. Landry, LA",Senior,2,5,Associate's,1,FALSE,Lever API,https://jobs.lever.co/charmindustrial/3e0de5bc-76f3-48c4-bce0-efb4ead8bbbe,,"Energy Storage, Electric Vehicles, Carbon Removal, Agriculture, Manufacturing"
Engineering Fabricator,Charmindustrial,"Fort Lupton, CO",Senior,3,5,Associate's,1,FALSE,Lever API,https://jobs.lever.co/charmindustrial/570ab567-4e9a-4b13-94d7-af6cf928f1d7,"CAD, Communication","Energy Storage, Carbon Removal, Nuclear, Manufacturing"
Geo-Chemical Scientist,Charmindustrial,"Fort Lupton, CO",Senior,5,5,"PhD (or equivalent), Master's with 5+ years (required), Associate's",1,FALSE,Lever API,https://jobs.lever.co/charmindustrial/d84aa83e-17ea-49e1-99da-27e98067a4a9,"Chemical Engineering, Communication","Energy Storage, Electric Vehicles, Carbon Removal, Climate Data"
Land Acquisition Manager,Charmindustrial,"Fort Lupton, CO",Senior,7,7,Associate's,1,FALSE,Lever API,https://jobs.lever.co/charmindustrial/e5c2f482-6b69-46a6-bd08-b7cef5a47bd1,"Sustainability, Communication","Energy Storage, Carbon Removal, Agriculture, Circular Economy, Supply Chain"
People & Safety Administrator,Charmindustrial,"Fort Lupton, CO",Associate,3,3,Associate's,1,FALSE,Lever API,https://jobs.lever.co/charmindustrial/126391b9-cc1a-46d7-999a-bbd9fc5760ea,Communication,"Energy Storage, Carbon Removal, Circular Economy"
Pyrolysis Mechanical Engineer II,Charmindustrial,"Fort Lupton, CO",Senior,3,5,Associate's,1,FALSE,Lever API,https://jobs.lever.co/charmindustrial/b0b3e005-f61b-45df-ae7e-3c7897693d74,"CAD, Mechanical Engineering","Energy Storage, Carbon Removal, Manufacturing"
Director of Electrochemistry,Hgen,Los Angeles,Executive,3,3,"PhD with 3+ years (or equivalent), Associate's",1,FALSE,Lever API,https://jobs.lever.co/hgen/b522b9fe-1fc7-48f8-8c28-84b422432223,Chemical Engineering,"Energy Storage, Hydrogen"
Electrochemical Engineer,Hgen,Los Angeles,Associate,,,"PhD (or equivalent), Associate's",1,FALSE,Lever API,https://jobs.lever.co/hgen/ab0b62aa-eff6-4bfc-b6a2-86d93bb5f66f,Chemical Engineering,"Energy Storage, Hydrogen"
Principal Mechanical Design Engineer,Hgen,Los Angeles,Lead/Principal,5,5,"Bachelor's with 5+ years, Associate's",1,FALSE,Lever API,https://jobs.lever.co/hgen/ebe470fd-0d65-4b77-b867-ef4da5b8bfad,"Project Management, Communication","Carbon Removal, Hydrogen, Manufacturing"
R&D Technician,Hgen,Los Angeles,Entry-Level,2,2,"Associate's, High School with 2+ years (or equivalent)",1,FALSE,Lever API,https://jobs.lever.co/hgen/810aefad-f185-4c92-a69f-b71dc47c1ec5,Communication,"Renewable Energy, Hydrogen, Manufacturing"
Senior/Staff Controls Systems Engineer,Hgen,Los Angeles,Senior,5,5,Associate's,1,FALSE,Lever API,https://jobs.lever.co/hgen/a308c5bc-a2e4-4de4-9680-68970f2666bf,"SCADA, Project Management, Communication","Carbon Removal, Hydrogen"
Test Specialist,Hgen,Los Angeles,Entry-Level,2,2,"Associate's, High School with 2+ years (or equivalent)",1,FALSE,Lever API,https://jobs.lever.co/hgen/de3b4e07-d6e8-4331-b29f-494ab18f158d,Communication,"Renewable Energy, Hydrogen, Manufacturing"
Senior Mechanical Design Engineer,Hgen,Los Angeles,Senior,5,5,"Bachelor's with 5+ years, Associate's",1,FALSE,Lever API,https://jobs.lever.co/hgen/e8562260-99ee-482f-8768-44387bd45d6f,"Project Management, Communication","Carbon Removal, Hydrogen, Manufacturing"
"Design Systems Engineer, HMI",Revel,Los Angeles,Associate,4,4,"Master's, Associate's",1,FALSE,Lever API,https://jobs.lever.co/revel/0750d31d-53cc-4a73-9660-54560800a0e1,"JavaScript, Communication","Electric Vehicles, Nuclear, Manufacturing"
Embedded Software Engineer,Revel,Los Angeles,Associate,3,3,Associate's,1,FALSE,Lever API,https://jobs.lever.co/revel/665ebd9d-5840-44e3-aa77-b69b1db969b0,"Rust, Electrical Engineering","Electric Vehicles, Manufacturing"
IT / InfoSec Administrator,Revel,Los Angeles,Senior,5,5,Associate's (or equivalent),1,FALSE,Lever API,https://jobs.lever.co/revel/d4977b6b-2df7-496b-b359-7de20a6aa9c7,"Python, AWS, Azure, GCP, Terraform, Project Management, Communication","Energy Storage, Renewable Energy, Electric Vehicles, Grid & Transmission, Manufacturing"
Product Designer,Revel,Los Angeles,Senior,5,5,Associate's,1,FALSE,Lever API,https://jobs.lever.co/revel/cae2b56a-8535-458d-931d-243887ed068e,"JavaScript, Product Management","Electric Vehicles, Manufacturing"
Operations Coordinator,Revel,Los Angeles,Executive,,,,1,FALSE,Lever API,https://jobs.lever.co/revel/9836a8da-8728-4796-91a1-ce797d3227e5,Communication,"Electric Vehicles, Agriculture, Supply Chain, Manufacturing"
Simulation Software Engineer,Revel,Los Angeles,Associate,,,Master's (or equivalent),1,FALSE,Lever API,https://jobs.lever.co/revel/d3aa3609-1d87-4bdc-ae64-1b411f971ac9,"Python, JavaScript, CI/CD, Communication","Electric Vehicles, Manufacturing"
Software Engineer - Front End,Revel,Los Angeles,Associate,3,3,,1,FALSE,Lever API,https://jobs.lever.co/revel/b07210db-8ed9-41e2-95e9-c62029b7192b,"JavaScript, Docker","Electric Vehicles, Manufacturing"
Software Engineer - Infrastructure & Deployment,Revel,Los Angeles,Entry-Level,2,2,Associate's (or equivalent),1,FALSE,Lever API,https://jobs.lever.co/revel/6fe0ec62-3b44-4c87-ac7c-950536f1a2cc,"Python, Rust, AWS, Azure, Docker, Kubernetes, CI/CD","Energy Storage, Electric Vehicles, Manufacturing"
Software Engineer - Rust / Backend,Revel,Los Angeles,Associate,,,Master's (or equivalent),1,FALSE,Lever API,https://jobs.lever.co/revel/6fd8a209-215d-4908-be5e-3c19ea711937,"Rust, CI/CD, Communication","Electric Vehicles, Manufacturing"
Software Engineer - Test,Revel,Los Angeles,Entry-Level,2,2,Associate's,1,FALSE,Lever API,https://jobs.lever.co/revel/1cd494bc-b3cc-466e-a12d-cfb15e3f4a68,"Python, Rust, CI/CD","Electric Vehicles, Manufacturing"
Solutions Engineer,Revel,Los Angeles,Entry-Level,2,2,Associate's,1,FALSE,Lever API,https://jobs.lever.co/revel/2d25e75d-e93d-4f2f-b4ae-834a22011d31,"Python, JavaScript, Electrical Engineering, Mechanical Engineering, Communication","Electric Vehicles, Manufacturing"
Technical Recruiter,Revel,Los Angeles,Senior,3,5,Associate's with 5+ years (preferred),1,FALSE,Lever API,https://jobs.lever.co/revel/11c25fbf-44a0-4097-998c-2dadf5ce8f83,Communication,"Electric Vehicles, Supply Chain, Manufacturing"
Product Manager,Farmwise,"Santa Clara, CA",Associate,3,3,Associate's (preferred),1,FALSE,Lever API,https://jobs.lever.co/farmwise/6793b9a6-7fba-4d8a-9983-c716b1d45792,"Go, Machine Learning, Sales, Marketing, Product Management, Communication",Agriculture
Regional Sales Manager,Farmwise,"Salinas, CA (Hybrid)",Senior,5,5,Associate's,1,FALSE,Lever API,https://jobs.lever.co/farmwise/193ee4e0-66cd-4290-b49e-a20898da9dc1,"Sales, Marketing, Communication",Agriculture
DVM Student Externship/Preceptorship Program - Palmetto Animal Hospital,Palmetto,"Florence, SC",Associate,,,Associate's,1,FALSE,Greenhouse API,https://boards.greenhouse.io/palmetto/jobs/5040391002?gh_jid=5040391002,Communication,
Veterinarian,Palmetto,"Florence, SC",Associate,,,,1,FALSE,Greenhouse API,https://boards.greenhouse.io/palmetto/jobs/8191452002?gh_jid=8191452002,Marketing,Grid & Transmission
"Sr. Fullstack Software Engineer, Platform",Climate AI,"San Francisco, California, United States",Senior,3,5,"PhD with 3-5 years (or equivalent), Master's with 3-5 years (or equivalent), Bachelor's with 3-5 years (or equivalent), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/climateai/jobs/4854550007,"JavaScript, Machine Learning, Communication","Agriculture, Food Systems, Climate Data, Supply Chain"
Account Executive- Washington ,ChargePoint,"Seattle, Washington ",Associate,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8341229002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Channel Account Manager,ChargePoint,"Campbell, CA",Associate,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8344334002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Corporate/Commercial Paralegal and Legal Operations,ChargePoint,"Campbell, CA",Associate,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8355525002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Principal Power Electronics Control Firmware Engineer,ChargePoint,"Campbell, CA",Lead/Principal,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8235128002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Senior Software Engineer,ChargePoint,Austria,Senior,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=7737578002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Staff Data Scientist ,ChargePoint,"Bangalore, India",Associate,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8241134002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
"Deployment Specialist Toronto/Ontario, Canada",ChargePoint,Canada Remote,Associate,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8302301002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
"Director, Data Platform & AI",ChargePoint,"Bangalore, India",Executive,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8375735002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Executive Assistant,ChargePoint,"Campbell, CA",Associate,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8379321002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Head of Global Total Rewards & Benefits,ChargePoint,"Campbell, CA",Associate,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8112570002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
IT Administrator,ChargePoint,"Campbell, CA",Associate,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8376410002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
"Power Electronics Firmware, Senior Manager",ChargePoint,"Campbell, CA",Senior,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8224187002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Principal Power Electronics Engineer,ChargePoint,"Campbell, CA",Lead/Principal,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=7950634002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Regulatory Safety Engineer,ChargePoint,"Campbell, CA",Associate,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8398778002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Senior Bid Manager ,ChargePoint,Munich,Senior,,,,1,FALSE,Greenhouse API,https://www.chargepoint.com/about/opportunities/job/?gh_jid=8415314002,"Project Management, Sales","Electric Vehicles, Supply Chain, Climate Finance"
Accounts Payable Staff Accountant,Oklo,"Santa Clara, CA or Remote",Associate,,,"Bachelor's (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5730227004,"Go, Finance, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Associate Project Manager,Oklo,"Austin, Texas",Senior,4,8,"Master's with 4-8 years (preferred), Bachelor's with 4-8 years (preferred), Associate's (required)",0.7999999999999999,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5722814004,"Go, Project Management, Finance, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
CAD/PLM Administrator - SolidWorks,Oklo,"Santa Clara, CA or Remote",Associate,,,Associate's (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5790916004,"Python, Go, CAD, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Computational Fluid Dynamics Thermal-Hydraulics Engineer,Oklo,"Santa Clara, CA or Remote",Associate,,,"PhD (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5740740004,"Python, Go, ANSYS, CFD, Communication","Renewable Energy, Nuclear, Grid & Transmission, Circular Economy, Supply Chain"
Core Mechanical Design - Senior Mechanical Design Engineer,Oklo,"Santa Clara, CA or Remote",Senior,5,10,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5775089004,"Python, Go, CAD, ANSYS, Mechanical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Environmental Policy & Compliance Analyst,Oklo,"Santa Clara, CA or Remote",Associate,,,"PhD (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5777985004,"Go, Sustainability, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Policy & Advocacy"
Facilities Design Engineer - Fuel Manufacturing Electrical Focus,Oklo,"Idaho Falls, ID or Remote",Senior,5,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5762548004,"Go, CAD, Electrical Engineering, Communication","Renewable Energy, Nuclear, Grid & Transmission, Circular Economy, Supply Chain, Manufacturing"
Hardware Test Technician,Oklo,"Idaho Falls, ID",Associate,3,3,"Associate's (preferred), High School with 3+ years (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5730933004,"Go, CAD, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Junior Software Engineer,Oklo,"Santa Clara, CA or Remote",Entry-Level,0,2,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5739861004,"Python, JavaScript, Go, Rust, CI/CD, Statistics, Communication","Energy Storage, Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Mechanical Designer - Fuel Manufacturing,Oklo,"Santa Clara, CA or Remote",Lead/Principal,4,10,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5680869004,"Python, Go, CAD, ANSYS, Communication","Renewable Energy, Electric Vehicles, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Core Thermal-Hydraulics Methods Engineer,Oklo,"Santa Clara, CA or remote",Associate,,,"PhD (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5740744004,"Python, Go, CI/CD, CFD, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
"Director of Business Development, Defense & National Security",Oklo,"Santa Clara, CA or Remote",Executive,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5741264004,"Go, Finance, Communication","Renewable Energy, Nuclear, Grid & Transmission, Circular Economy, Supply Chain, Manufacturing"
Engineering Technician,Oklo,"Santa Clara, CA or Idaho Falls, ID",Associate,3,3,"Bachelor's (preferred), Associate's (preferred), High School with 3+ years (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5705506004,"Go, CAD, PLC, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Executive Assistant to Chief Financial Officer,Oklo,"Santa Clara, CA or Remote",Executive,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5793619004,"Go, Finance, Communication","Renewable Energy, Nuclear, Agriculture, Circular Economy, Supply Chain"
External Hazards Regulatory Engineer,Oklo,"Santa Clara, CA or Remote",Associate,,,"PhD (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5800665004,"Go, Project Management, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
External Quality Assurance Specialist,Oklo,"Santa Clara, CA or Remote",Associate,,,Associate's (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5728192004,"Go, Communication","Renewable Energy, Electric Vehicles, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Fabrication Lead,Oklo,"Idaho Falls, ID",Lead/Principal,10,10,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5741239004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Facilities Design Engineer - Fuel Fabrication,Oklo,"Santa Clara, CA or Remote",Senior,5,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5775668004,"Go, HVAC, Communication","Renewable Energy, Nuclear, Built Environment, Circular Economy, Supply Chain, Manufacturing"
Facility Design Engineer,Oklo,"Santa Clara, CA or Remote",Lead/Principal,10,10,Associate's (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5490078004,"Go, CAD, SCADA, HVAC, Project Management, Communication","Energy Storage, Renewable Energy, Nuclear, Built Environment, Materials, Circular Economy, Supply Chain, Manufacturing"
Facility Operations Manager,Oklo,"Austin, Texas area",Associate,4,4,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5741775004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Federal Services Lead,Oklo,"Washington, DC",Lead/Principal,,,Associate's (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5741243004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Fire Protection Engineer,Oklo,"Santa Clara, CA or Remote",Associate,,,Associate's (preferred),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5741564004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Fuel Fabrication Manufacturing Engineer,Oklo,"Idaho Falls, ID",Entry-Level,2,2,"Associate's with 2+ years (preferred), High School with 2+ years (preferred)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5732494004,"Go, Data Analysis, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Fuel Fabrication Project Engineer,Oklo,"Santa Clara, CA or Remote",Senior,5,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5775659004,Communication,"Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Fuel Performance Engineer,Oklo,"Santa Clara, CA or Remote",Associate,3,3,"Bachelor's with 3 years (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/4638962004,"Python, Go, ANSYS, FEA, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Fuels Licensing Manager,Oklo,"Santa Clara, CA or Remote",Associate,,,"Bachelor's (required), Associate's (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5688527004,"Go, Project Management, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
General Application - Nuclear Fuel Recycling,Oklo,"Santa Clara, CA or Remote",Associate,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5065038004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Hot Cell Design Engineer,Oklo,"Santa Clara, CA or Remote",Senior,5,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5596070004,"Go, CAD, Mechanical Engineering, HVAC, Project Management, Communication","Energy Storage, Renewable Energy, Nuclear, Built Environment, Circular Economy, Supply Chain"
Human Factors Engineer,Oklo,"Santa Clara, CA or Remote",Executive,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5741556004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Human Resource Business Partner (HRBP),Oklo,"Santa Clara, CA",Associate,3,3,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5769724004,"Go, Finance, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Lead Machinist,Oklo,"Idaho Falls, ID",Lead/Principal,10,10,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5741240004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Licensing Manager,Oklo,"Santa Clara, CA or Remote",Associate,,,"Bachelor's (required), Associate's (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5679965004,"Go, Project Management, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Mechanical Analyst Engineer,Oklo,"Santa Clara, CA or Remote",Associate,4,4,"PhD (preferred), Associate's (preferred)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5587760004,"Python, Go, ANSYS, FEA, Communication","Renewable Energy, Electric Vehicles, Nuclear, Circular Economy, Supply Chain, Manufacturing"
